episode,epsilon,total_reward
470.0,0.30298432810936976,-8.0
471.0,0.3028842947649216,8.0
472.0,0.3027842614204735,7.0
473.0,0.3026842280760253,-8.0
474.0,0.30258419473157716,-11.0
475.0,0.302484161387129,8.0
476.0,0.3023841280426809,-4.0
477.0,0.3022840946982327,-11.0
478.0,0.30218406135378456,8.0
479.0,0.3020840280093364,-11.0
480.0,0.3019839946648883,-3.0
481.0,0.3018839613204401,9.0
482.0,0.30178392797599196,8.0
483.0,0.3016838946315438,8.0
484.0,0.3015838612870957,-11.0
485.0,0.3014838279426475,-8.0
486.0,0.30138379459819936,8.0
487.0,0.3012837612537512,8.0
488.0,0.3011837279093031,-9.0
489.0,0.3010836945648549,-9.0
490.0,0.3009836612204068,8.0
491.0,0.3008836278759586,8.0
492.0,0.3007835945315105,8.0
493.0,0.3006835611870623,8.0
494.0,0.3005835278426142,8.0
495.0,0.300483494498166,-8.0
496.0,0.3003834611537179,8.0
497.0,0.3002834278092697,-4.0
498.0,0.3001833944648216,8.0
499.0,0.3000833611203734,-8.0
500.0,0.2999833277759253,8.0
501.0,0.29988329443147715,-8.0
502.0,0.299783261087029,8.0
503.0,0.2996832277425808,-10.0
504.0,0.2995831943981327,-9.0
505.0,0.29948316105368455,-5.0
506.0,0.2993831277092364,9.0
507.0,0.2992830943647882,-4.0
508.0,0.2991830610203401,-8.0
509.0,0.29908302767589195,-10.0
510.0,0.2989829943314438,-10.0
511.0,0.2988829609869956,-10.0
512.0,0.2987829276425475,8.0
513.0,0.29868289429809936,7.0
514.0,0.2985828609536512,-10.0
515.0,0.298482827609203,8.0
516.0,0.2983827942647549,-10.0
517.0,0.29828276092030676,-3.0
518.0,0.2981827275758586,8.0
519.0,0.2980826942314104,-11.0
520.0,0.29798266088696235,7.0
521.0,0.29788262754251416,-10.0
522.0,0.297782594198066,-11.0
523.0,0.29768256085361783,-8.0
524.0,0.29758252750916975,-8.0
525.0,0.29748249416472156,-8.0
526.0,0.2973824608202734,-11.0
527.0,0.29728242747582523,7.0
528.0,0.29718239413137715,7.0
529.0,0.29708236078692896,8.0
530.0,0.2969823274424808,-8.0
531.0,0.29688229409803263,8.0
532.0,0.29678226075358455,8.0
533.0,0.29668222740913636,-3.0
534.0,0.2965821940646882,7.0
535.0,0.2964821607202401,7.0
536.0,0.29638212737579195,-3.0
537.0,0.29628209403134376,8.0
538.0,0.2961820606868956,-9.0
539.0,0.2960820273424475,8.0
540.0,0.29598199399799935,-8.0
541.0,0.29588196065355116,7.0
542.0,0.295781927309103,8.0
543.0,0.2956818939646549,7.0
544.0,0.29558186062020675,-9.0
